6.1101,3,45000,17.592
5.5277,2,38000,9.1302
8.5186,5,50000,13.662
7.0032,4,42000,11.854
5.8598,3,40000,6.8233
8.3829,4,48000,11.886
7.4764,2,41000,4.3483
8.5781,5,52000,12
6.4862,3,39000,6.5987
5.0546,1,35000,3.8166
5.7107,2,37000,3.2522
14.164,8,60000,15.505
5.734,2,36000,3.1551
8.4084,4,47000,7.2258
5.6407,1,34000,0.71618
5.3794,2,33000,3.5129
6.3654,3,40000,5.3048
5.1301,1,32000,0.56077
6.4296,3,41000,3.6518
7.0708,4,43000,5.3893
6.1891,2,38000,3.1386
20.27,10,75000,21.767
5.4901,2,37000,4.263
6.3261,3,42000,5.1875
5.5649,2,36000,3.0825
18.945,9,70000,22.638
12.828,7,55000,13.501
10.957,6,50000,7.0467
13.176,7,58000,14.692
22.203,12,80000,24.147
5.2524,1,30000,-1.22
6.5894,3,44000,5.9966
9.2482,5,52000,12.134
5.8918,2,39000,1.8495
8.2111,4,46000,6.5426
7.9334,3,45000,4.5623
8.0959,4,47000,4.1164
5.6063,2,35000,3.3928
12.836,6,54000,10.117
6.3534,3,43000,5.4974
5.4069,1,32000,0.55657
6.8825,4,44000,3.9115
11.708,7,53000,5.3854
5.7737,2,37000,2.4406
7.8247,4,48000,6.7318
7.0931,3,42000,1.0463
5.0702,1,34000,5.1337
5.8014,2,39000,1.844
11.7,6,52000,8.0043
5.5416,1,33000,1.0179
7.5402,4,46000,6.7504
5.3077,1,32000,1.8396
7.4239,3,44000,4.2885
7.6031,4,45000,4.9981
6.3328,2,38000,1.4233
6.3589,2,37000,-1.4211
6.2742,3,40000,2.4756
5.6397,2,36000,4.6042
9.3102,5,51000,3.9624
9.4536,5,52000,5.4141
8.8254,4,49000,5.1694
5.1793,1,31000,-0.74279
21.279,11,72000,17.929
14.908,8,60000,12.054
18.959,9,68000,17.054
7.2182,3,43000,4.8852
8.2951,4,47000,5.7442
10.236,6,52000,7.7754
5.4994,1,33000,1.0173
20.341,10,71000,20.992
10.136,5,50000,6.6799
7.3345,3,44000,4.0259
6.0062,2,37000,1.2784
7.2259,3,42000,3.3411
5.0269,1,30000,-2.6807
6.5479,2,39000,0.29678
7.5386,4,45000,3.8845
5.0365,1,34000,5.7014
10.274,6,51000,6.7526
5.1077,1,32000,2.0576
5.7292,2,37000,0.47953
5.1884,1,31000,0.20421
6.3557,2,39000,0.67861
9.7687,6,53000,7.5435
6.5159,3,42000,5.3436
8.5172,4,48000,4.2415
9.1802,5,50000,6.7981
6.002,2,37000,0.92695
5.5204,1,33000,0.152
5.0594,1,32000,2.8214
5.7077,2,37000,1.8451
7.6366,4,46000,4.2959
5.8707,3,40000,7.2029
5.3054,1,33000,1.9869
8.2934,4,47000,0.14454
13.394,7,55000,9.0551
5.4369,1,32000,0.61705
